Type;N;J;GFLOPS;Memory Performance
AdditionJ;1048576;1;1896.3;1137.78
Multiplication;1048576;1;1951.64;1170.98
MultiplicationJ;1048576;1;1878.9;1127.34
Addition;1048576;2;1878.9;1127.34
AdditionJ;1048576;2;1896.3;1137.78
Multiplication;1048576;2;1953.38;1172.03
MultiplicationJ;1048576;2;1993.19;1195.91
Addition;1048576;4;1819.94;1091.96
AdditionJ;1048576;4;1989.56;1193.73
Multiplication;1048576;4;182.384;109.43
MultiplicationJ;1048576;4;2007.84;1204.71
Addition;1048576;8;1936.64;1161.99
AdditionJ;1048576;8;1988.35;1193.01
Multiplication;1048576;8;167.461;100.477
MultiplicationJ;1048576;8;1765.52;1059.31
Addition;1048576;16;176.248;105.749
AdditionJ;1048576;16;144.623;86.7739
Multiplication;1048576;16;1952.8;1171.68
MultiplicationJ;1048576;16;1936.07;1161.64
Addition;1048576;32;1932.08;1159.25
AdditionJ;1048576;32;196.917;118.15
Multiplication;1048576;32;182.389;109.433
MultiplicationJ;1048576;32;1713.36;1028.02
Addition;2097152;1;2356.14;1413.68
AdditionJ;2097152;1;451.614;270.969
Multiplication;2097152;1;2396.2;1437.72
MultiplicationJ;2097152;1;413.346;248.008
Addition;2097152;2;2411.18;1446.71
AdditionJ;2097152;2;2452.69;1471.62
Multiplication;2097152;2;386.769;232.061
MultiplicationJ;2097152;2;2486.66;1492
Addition;2097152;4;2409.41;1445.65
AdditionJ;2097152;4;2441.73;1465.04
Multiplication;2097152;4;2367.63;1420.58
MultiplicationJ;2097152;4;2564.51;1538.7
Addition;2097152;8;2279.51;1367.71
AdditionJ;2097152;8;2531.32;1518.79
Multiplication;2097152;8;2410.74;1446.44
MultiplicationJ;2097152;8;191.581;114.949
Addition;2097152;16;2355.29;1413.18
AdditionJ;2097152;16;2411.18;1446.71
Multiplication;2097152;16;1780.87;1068.52
MultiplicationJ;2097152;16;372.025;223.215
Addition;2097152;32;349.283;209.57
AdditionJ;2097152;32;369.613;221.768
Multiplication;2097152;32;458.695;275.217
MultiplicationJ;2097152;32;454.669;272.801
Addition;4194304;1;501.04;300.624
AdditionJ;4194304;1;760.874;456.525
Multiplication;4194304;1;530.001;318.001
MultiplicationJ;4194304;1;502.962;301.777
Addition;4194304;2;574.94;344.964
AdditionJ;4194304;2;815.2;489.12
Multiplication;4194304;2;806.597;483.958
MultiplicationJ;4194304;2;804.987;482.992
Addition;4194304;4;805.506;483.304
AdditionJ;4194304;4;796.234;477.74
Multiplication;4194304;4;810.462;486.277
MultiplicationJ;4194304;4;783.174;469.904
Addition;4194304;8;804.073;482.444
AdditionJ;4194304;8;763.467;458.08
Multiplication;4194304;8;793.462;476.077
MultiplicationJ;4194304;8;780.376;468.226
Addition;4194304;16;805.531;483.319
AdditionJ;4194304;16;794.641;476.784
Multiplication;4194304;16;524.834;314.9
MultiplicationJ;4194304;16;789.353;473.612
Addition;4194304;32;541.877;325.126
AdditionJ;4194304;32;523.817;314.29
Multiplication;4194304;32;807.989;484.793
MultiplicationJ;4194304;32;777.968;466.781
Addition;8388608;1;756.417;453.85
AdditionJ;8388608;1;744.135;446.481
Multiplication;8388608;1;623.203;373.922
MultiplicationJ;8388608;1;741.389;444.833
Addition;8388608;2;745.797;447.478
AdditionJ;8388608;2;651.71;391.026
Multiplication;8388608;2;745.14;447.084
MultiplicationJ;8388608;2;743.123;445.874
Addition;8388608;4;741.693;445.016
AdditionJ;8388608;4;716.397;429.838
Multiplication;8388608;4;660.678;396.407
MultiplicationJ;8388608;4;734.132;440.479
Addition;8388608;8;735.729;441.438
AdditionJ;8388608;8;728.836;437.301
Multiplication;8388608;8;725.277;435.166
MultiplicationJ;8388608;8;651.249;390.749
Addition;8388608;16;744.727;446.836
AdditionJ;8388608;16;723.036;433.822
Multiplication;8388608;16;741.137;444.682
MultiplicationJ;8388608;16;727.895;436.737
Addition;8388608;32;742.439;445.463
AdditionJ;8388608;32;588.123;352.874
Multiplication;8388608;32;739.747;443.848
MultiplicationJ;8388608;32;722.08;433.248
Addition;16777216;1;740.855;444.513
AdditionJ;16777216;1;742.565;445.539
Multiplication;16777216;1;732.896;439.737
MultiplicationJ;16777216;1;740.87;444.522
Addition;16777216;2;672.048;403.229
AdditionJ;16777216;2;661.057;396.634
Multiplication;16777216;2;739.402;443.641
MultiplicationJ;16777216;2;739.851;443.911
Addition;16777216;4;739.867;443.92
AdditionJ;16777216;4;735.925;441.555
Multiplication;16777216;4;743.06;445.836
MultiplicationJ;16777216;4;663.5;398.1
Addition;16777216;8;604.478;362.687
